AntShares,ANS
Ark,ARK
LuckChain,BASH
BitBay,BAY
BitConnect,BCC
Bitcrystals,BCY
BlackCoin,BLK
Bytecoin,BCN
Blocknet,BLOCK
Bancor,BNT
Bitcoin,BTC
BitcoinDark,BTCD
BitShares,BTS
Burst,BURST
Clams,CLAM
CloakCoin,CLOAK
Crown,CRW
DASH,DASH
DubaiCoin,DBIC
Decred,DCR
DigiByte,DGB
Dogecoin,DOGE
EarthCoin,EAC
E-coin,ECN
Emercoin,EMC
Einsteinium,EMC2
Energycoin,ENRG
Ethereum Classic,ETC
Ethereum,ETH
Expanse,EXP
FairCoin,FAIR
Factom,FCT
FirstCoin,FRST
Feathercoin,FTC
GameCredits,GAME
Byteball,GBYTE
Gnosis,GNO
Golem,GNT
Golos,GOLOS
GridCoin,GRC
HEAT,HEAT
Infinitecoin,IFC
I/O Coin,IOC
Komodo,KMD
LBRY Credits,LBC
LEOcoin,LEO
Lykke,LKK
LoMoCoin,LMC
Lisk,LSK
Litecoin,LTC
IOTA,MIOTA
MonaCoin,MONA
Mooncoin,MOON
MonetaryUnit,MUE
Mysterium,MYST
NAV Coin,NAV
NeosCoin,NEOS
Gulden,NLG
Namecoin,NMC
DNotes,NOTE
Novacoin,NVC
Nexus,NXS
Nxt,NXT
Omni,OMNI
PIVX,PIVX
PotCoin,POT
Peercoin,PPC
Peerplays,PPY
Radium,RADS
Rubycoin,RBY
Quark,QRK
ReddCoin,RDD
Augur,REP
Siacoin,SC
Shift,SHIFT
SIBCoin,SIB
Skycoin,SKY
Steem,STEEM
Stratis,STRAT
SysCoin,SYS
Ubiq,UBQ
Viacoin,VIA
Voxels,VOX
VeriCoin,VRC
Vertcoin,VTC
Waves,WAVES
WorldCoin,WDC
Asch,XAS
Bitcoin Plus,XBC
Counterparty,XCP
DigitalNote,XDN
NEM,XEM
Stellar Lumens,XLM
Monero,XMR
Primecoin,XPM
Ripple,XRP
Verge,XVG
ZCoin,XZC
YbCoin,YBC
Zcash,ZEC
