Adamis Pharmaceuticl,ADMP
Adamas Pharma,ADMS
Adomani Inc,ADOM
Automatic Data Procs,ADP
Bldrs Asia 50 Fd,ADRA
Bldrs Dev Mkts 100,ADRD
Bldrs EM Mkts 50,ADRE
Aduro Biotech,ADRO
Bldrs EUR 100 Fd,ADRU
Autodesk Inc,ADSK
Adtran Inc,ADTN
Addus Homecare Corpo,ADUS
Adverum Biotechnlgs,ADVM
Advaxis Inc,ADXS
Advaxis Inc Wts,ADXSW
Aegion Corp,AEGN
Aehr Test Systems,AEHR
Advanced Energy,AEIS
Aethlon Medical,AEMD
Aerie Pharmaceutical,AERI
American Electric Te,AETI
Addvantage Techs Grp,AEY
Aeterna Zentaris,AEZS
Atlas Fincl Hld Ord,AFH
Atlas Financial Holdings Inc 6.625% Senior Uns,AFHBL
Affimed N.V.,AFMD
Amtrust Financial,AFSI
Agenus Inc,AGEN
Agrofresh Solutions,AGFS
Agrofresh Sol Wrrnts,AGFSW
Argo Group Intl Hlds,AGII
Azurrx Biopharma Inc,AZRX
Natus Medical Inc,BABY
Bandwidth Inc,BAND
Bancfirst Corp,BANF
Banner Corp,BANR
Stonecastle Fncl Cp,BANX
Bioanalytical Syst,BASI
Liberty Braves CS A,BATRA
Liberty Braves CS C,BATRK
Bed Bath & Beyond,BBBY
Beasley Brdcst Gr,BBGI
Biotech Vaneck ETF,BBH
Black Box Cp,BBOX
Bravo Brio Restauran,BBRG
Barrett Business S,BBSI
Bcb Bancorp Inc,BCBP
Brainstorm Cell,BCLI
B Communications Ltd,BCOM
Blucora Inc,BCOR
Brightcove Inc,BCOV
Balchem Cp,BCPC
Biocryst Pharma Inc,BCRX
Bancorp 34 Inc,BCTF
Bridge Bancorp Inc,BDGE
Biodelivery Sci Intl,BDSI
Biotelemetry Inc,BEAT
Beacon Roofing Suppl,BECN
Bel Fuse Inc Cl B,BELFB
Bankfinancial Corpor,BFIN
G-X Health & Wellness Thematic Et,BFIT
Biofrontera Ag ADR,BFRA
Bgc Partners Cl A,BGCP
China Natural Res,CHNR
Coherus Bio,CHRS
C.H. Robinson Ww,CHRW
CHS B Cum Pfd Srs 4,CHSCL
CHS Pfd Clb Ser3,CHSCM
CHS Inc Pfd B Srs 2,CHSCN
CHS Inc Cl B Pfd,CHSCO
CHS Inc Cum Pfd,CHSCP
Charter Communicatio,CHTR
Commercehub Inc,CHUBA
Commercehub Inc,CHUBK
Chuy's Holdings Inc,CHUY
Calamos Gbl Dyn Inc,CHW
Calamos Cv & High In,CHY
Nasdaq Cybersecurity ETF FT,CIBR
Victory Intl Hi Div Vol Wtd ETF,CID
Cinedigm Corp,CIDM
China Internet Nationwide Financial Services Inc,CIFS
Colliers Intl Grp In,CIGI
Victory Intl Vol Wtd ETF,CIL
Cincinnati Financial,CINF
Interm Credit Bd Ishares,CIU
Civista Bncshrs,CIVB
Victory Dev Enhd Vol Wtd ETF,CIZ
China Jojo Drugstore,CJJD
Checkpoint Therapeutics Inc,CKPT
Clarus Corp,CLAR
Caladrius Bio,CLBS
Collectors Universe,CLCT
China Lending Corp,CLDC
Celldex Therapeutics,CLDX
Clearfield Inc,CLFD
Dlh Holdings Corp,DLHC
Dolphin Entertainment Inc,DLPN
Dolphin Entertainment Inc Warrant,DLPNW
Duluth Hldg Cl B,DLTH
Dollar Tree Inc,DLTR
Dorchester Minls,DMLP
Delmar Pharmaceuticals Inc,DMPI
Digimarc Corp,DMRC
Dnb Finl Corp,DNBF
Golden Bull Limited Ordinary Shares,DNJR
Dunkin' Brands Group,DNKN
Denali Therapeutics Inc,DNLI
Dogness Corporation Class A,DOGZ
Dorman Products Inc,DORM
Dova Pharmaceuticals Inc,DOVA
Amdocs Ltd Ord,DOX
Digirad Corp,DRAD
Labstyle Innovat,DRIO
Dicerna Pharmaceutic,DRNA
Durect Corp,DRRX
Dryships Inc,DRYS
Descartes Sys Grp,DSGX
Daseke Inc,DSKE
Daseke Inc,DSKEW
VS 3X Inv Silver,DSLV
D S P Group Inc,DSPG
Deswell Inds Inc,DSWL
Davidstea Inc,DTEA
Determine Inc,DTRM
10 Year Bear Ipath,DTYS
Davis Select USA ETF,DUSA
Enterprise Bancorp I,EBTC
Echo Global Logistic,ECHO
US Ecology Inc,ECOL
Encore Capital Grp,ECPG
Endocyte Inc,ECYT
Edap Tms Sa ADR,EDAP
Legg EM Div Core ETF,EDBI
Edge Therapeut Cm S,EDGE
Edgewater Tech Inc,EDGW
