Altaba Inc,AABA,20180409,68.22,69.33,68.11,68.44,6316800
American Airlines Gp,AAL,20180409,50.5,50.86,49.74,49.82,4330000
Atlantic Amer Cp,AAME,20180409,3.37,3.37,3.15,3.3,3200
Applied Optoelect,AAOI,20180409,24.22,25.03,23.49,24.36,677600
Aaon Inc,AAON,20180409,34.5,34.6,33.95,34.1,142100
Apple Inc,AAPL,20180409,169.88,173.09,169.845,170.05,29017700
Atlas Air Ww,AAWW,20180409,61.25,61.55,59.85,59.95,128900
Ishares Aca X-Japan ETF,AAXJ,20180409,76.34,77.01,76.1,76.27,684900
Axon Inc,AAXN,20180409,42.24,42.34,40.84,41.31,1236800
Aoxin Tianli Grp,ABAC,20180409,2.5,2.95,2.43,2.69,11800
Abaxis Inc,ABAX,20180409,69.48,70.58,68.96,69.43,99300
Ameris Bancorp,ABCB,20180409,52.5,53.1,51.9,51.9,120700
Cambium Learning Grp,ABCD,20180409,11.1,11.34,10.91,11.14,217600
Alcentra Capital Com,ABDC,20180409,7.19,7.2,7.1,7.1,40000
Abeona Therapeutics,ABEO,20180409,15.4,17.1,14.7,16.55,2221000
Abeona Thera Wts,ABEOW,20180409,10,11.7,10,11.7,2500
Ability Inc,ABIL,20180409,2.83,3.14,2.7,3.04,33500
Arca Biopharma Inc,ABIO,20180409,0.52,0.53,0.49,0.51,128800
Ablynx Nv,ABLX,20180409,54.77,54.89,54.72,54.83,56200
Abiomed Inc,ABMD,20180409,289.09,294.25,287.71,288.12,315500
Allegiance Banc CS,ABTX,20180409,40.4,41.45,40.3,40.6,51300
Arbutus Biopharma Cp,ABUS,20180409,5.1,5.25,5.05,5.15,131300
Acadia Pharmaceutica,ACAD,20180409,17.6,17.78,15.74,16.5,23862400
Atlantic Capital,ACBI,20180409,18.8,19.1,18.7,18.85,97400
Acer Therapeutics Inc,ACER,20180409,19,19.46,18.74,19.12,8100
Aceto Cp,ACET,20180409,7.41,7.41,6.85,6.97,701200
Atlantic Coast Finl,ACFC,20180409,10.2,10.34,10.14,10.17,21300
Arch Capital Grp Ltd,ACGL,20180409,81.7,82.45,80.01,80.37,1529300
Arch Capital Group Ltd ADR,ACGLO,20180409,24.33,24.33,24.11,24.2,22600
Arch Capital Group Ltd,ACGLP,20180409,23.8,23.8,23.71,23.71,35000
Acadia Healthcr Co,ACHC,20180409,39.7,40.08,39.23,39.28,564700
Achillion Pharmaceut,ACHN,20180409,3.53,3.59,3.49,3.56,872400
Achieve Life Sciences Inc,ACHV,20180409,1.25,1.31,1.25,1.26,37300
Acacia Communica,ACIA,20180409,35.97,36.66,35.02,35.31,313900
AC Immune S.A.,ACIU,20180409,9.09,10.4,9.05,9.18,58600
Aci Worldwide Inc,ACIW,20180409,24.04,24.27,23.85,23.89,439700
Axcelis Tech Inc,ACLS,20180409,23.3,24,22.805,23.15,246400
Acm Research Inc,ACMR,20180409,11.92,12.2,11.9,12,18000
Acnb Corp,ACNB,20180409,28.75,29.2,28.65,29.05,1500
Acorda Therapeutics,ACOR,20180409,23.05,23.6,22.9,23.15,256500
Aclaris Therapts,ACRS,20180409,16.92,17.41,16.21,16.52,245800
Acelrx Pharmaceutica,ACRX,20180409,2.15,2.25,2.15,2.225,254100
American Capital Sen,ACSF,20180409,11.2,11.25,11.15,11.15,8100
Acasti Pharma,ACST,20180409,1.12,1.16,1.11,1.13,227500
Advisorshares Vice ETF,ACT,20180409,25.25,25.4,25.14,25.15,5200
Acacia Res-Acacia,ACTG,20180409,3.55,3.55,3.45,3.45,56700
Ishares ACWI ETF,ACWI,20180409,71.38,72.01,71.15,71.19,1103100
Ishares ACWI Ex-US ETF,ACWX,20180409,49.67,49.975,49.57,49.62,285600
Acxiom Cp,ACXM,20180409,23.08,23.29,22.77,23.03,1227200
Adaptimmune Ther Ads,ADAP,20180409,10.55,10.7,10.27,10.47,475300
Adobe Systems Inc,ADBE,20180409,220.08,224.44,218.82,219.17,2536100
Advanced Emissions Solutions Inc,ADES,20180409,11.17,11.17,10.95,11.1,96600
Analog Devices,ADI,20180409,89.12,90.44,87.9,87.99,2513800
Adma Biologics,ADMA,20180409,5.22,5.33,5,5.31,77200
Adamis Pharmaceuticl,ADMP,20180409,3.4,3.55,3.26,3.475,503800
Adamas Pharma,ADMS,20180409,23.29,23.53,22.49,22.61,512500
Adomani Inc,ADOM,20180409,0.96,1,0.95,0.97,33400
Automatic Data Procs,ADP,20180409,114.49,116.26,113.97,114.44,2016300
Bldrs Asia 50 Fd,ADRA,20180409,33.61,33.89,33.61,33.89,800
Bldrs Dev Mkts 100,ADRD,20180409,23.23,23.26,23.18,23.18,1500
Bldrs EM Mkts 50,ADRE,20180409,43.4,43.74,43.2,43.21,8900
Aduro Biotech,ADRO,20180409,8.1,8.25,7.75,7.9,786000
Bldrs EUR 100 Fd,ADRU,20180409,22.43,22.61,22.43,22.61,1100
Autodesk Inc,ADSK,20180409,126.72,129.135,126.39,127.57,1893000
Adtran Inc,ADTN,20180409,15,15.3,14.9,15.1,270800
Addus Homecare Corpo,ADUS,20180409,52.6,53,51.95,52.1,51800
Adverum Biotechnlgs,ADVM,20180409,5.7,6.15,5.7,5.8,1110100
Advaxis Inc,ADXS,20180409,1.71,1.79,1.66,1.72,538400
Advaxis Inc Wts,ADXSW,20180409,0.35,0.375,0.349,0.375,5000
Aegion Corp,AEGN,20180409,22.89,23.23,22.79,23.05,115100
Aehr Test Systems,AEHR,20180409,2.3,2.33,2.22,2.3,104500
Advanced Energy,AEIS,20180409,62.19,63.77,61.42,61.48,221000
Aethlon Medical,AEMD,20180409,1.26,1.31,1.22,1.225,254200
Aerie Pharmaceutical,AERI,20180409,50.8,51.55,50.55,51,242200
American Electric Te,AETI,20180409,0.9,0.9,0.801,0.875,112200
Addvantage Techs Grp,AEY,20180409,1.3,1.3,1.25,1.27,7200
Aeterna Zentaris,AEZS,20180409,1.36,1.4,1.32,1.36,58800
Atlas Fincl Hld Ord,AFH,20180409,10.65,10.7,10.45,10.65,106200
Atlas Financial Holdings Inc 6.625% Senior Uns,AFHBL,20180409,24.85,24.85,24.835,24.85,1100
Affimed N.V.,AFMD,20180409,2.15,2.15,1.95,2.05,562700
Amtrust Financial,AFSI,20180409,12.4,12.495,12.36,12.39,381900
Agenus Inc,AGEN,20180409,4.5,4.59,4.22,4.28,1169200
Agrofresh Solutions,AGFS,20180409,7.24,7.39,7.18,7.25,155700
Agrofresh Sol Wrrnts,AGFSW,20180409,0.5,0.5,0.4,0.5,6600
Argo Group Intl Hlds,AGII,20180409,57.5,57.65,56.7,57.1,146200
Argo Grp Itl Snr NTS,AGIIL,20180409,25.26,25.31,25.26,25.31,1200
Agios Pharmaceutical,AGIO,20180409,77.05,80.98,76.51,80,736600
Aeglea Biothera,AGLE,20180409,9,9,7.83,8.12,82500
American Capital Age,AGNC,20180409,18.99,19.085,18.85,18.87,2754800
American Cap Agy Cor,AGNCB,20180409,25.65,25.82,25.63,25.69,5500
Agnc Investment Corp,AGNCN,20180409,25.45,25.69,25.45,25.56,38600
Wisdomtree Neg Duration US Agg Bond Fund,AGND,20180409,43.64,43.78,43.6,43.78,1600
Agile Therap,AGRX,20180409,2.7,2.81,2.7,2.75,60900
Applied Genetic Tech,AGTC,20180409,3.9,4.1,3.7,3.7,63900
Agilysys Inc,AGYS,20180409,12.44,12.5,12.02,12.06,35300
Wisdomtree Int Rate US Agg Bond Fund,AGZD,20180409,48.09,48.22,48.09,48.22,1400
Alliance Holdings Gp,AHGP,20180409,24.3,24.74,23.72,23.81,228000
Allied Healthcare,AHPI,20180409,2.49,2.555,2.4,2.42,22000
Ishares Asia 50 ETF,AIA,20180409,67.23,67.6,66.86,66.95,83800
Senmiao Technology Limited,AIHS,20180409,5.94,6,5.75,5.95,81300
Altra Indtl Mtn,AIMC,20180409,45.15,45.6,44.6,44.6,78300
Aimmune Therap,AIMT,20180409,29.53,30.7,29.53,30.23,672400
Apollo Investment Co,AINV,20180409,5.37,5.45,5.34,5.41,824500
Precision Therapeutics Inc.,AIPT,20180409,0.92,0.95,0.87,0.89,259700
Airgain Inc,AIRG,20180409,7.91,8.22,7.91,7.99,17500
Rba American Industrial Renaissance ETF FT,AIRR,20180409,25.71,25.71,25.49,25.49,23700
Akamai Technologies,AKAM,20180409,69.86,71.61,69.79,70.46,1121900
Achaogen Inc,AKAO,20180409,12.45,12.47,11.5,11.54,1637900
Akebia Therapeutics,AKBA,20180409,9.63,9.77,9.395,9.47,405900
Akcea Therapeutics Inc,AKCA,20180409,21.82,22.45,21.11,21.76,192500
Akers Biosciences,AKER,20180409,0.6,0.605,0.533,0.549,9743000
Akorn Inc,AKRX,20180409,18.51,18.54,17.56,18.05,1202400
Akoustis Technologies Inc,AKTS,20180409,5.42,5.42,5.16,5.23,116200
Akari Therapeutics,AKTX,20180409,1.98,2,1.9,1.9,74200
Albireo Pharma Inc,ALBO,20180409,32.08,32.08,30.31,30.8,47700
Alico Inc,ALCO,20180409,29.5,29.85,29.5,29.75,8500
Alder Biopharma,ALDR,20180409,12.7,12.85,12.55,12.65,683400
Aldeyra Therapeu,ALDX,20180409,7,7.15,6.85,6.95,36700
Align Technology I,ALGN,20180409,248.37,255.26,247.62,249.06,578800
Allegiant Travel Com,ALGT,20180409,173.1,173.7,168,168.15,104100
Alimera Sciences Inc,ALIM,20180409,1.06,1.06,1.02,1.03,59400
Alj Regional Hold,ALJJ,20180409,2.13,2.14,2.11,2.13,6400
Alkermes Plc,ALKS,20180409,42.57,43.3,42.19,42.43,1098100
Allot Communications,ALLT,20180409,5.15,5.31,5.15,5.17,25200
Allena Pharmaceuticals Inc,ALNA,20180409,12.87,14.2,12.27,12.5,201600
Alnylam Pharmaceut,ALNY,20180409,96.16,99.15,96.16,97.33,1094300
Analogic Cp,ALOG,20180409,95.65,96.4,94.9,94.95,93300
Astronova Inc,ALOT,20180409,16.1,16.15,15.55,16.1,17700
Alpine Immune Sciences Inc,ALPN,20180409,8.05,8.14,7.66,7.71,9800
Alliqua Biomedical,ALQA,20180409,2.12,2.15,2,2.09,33900
Alarm.Com,ALRM,20180409,38.83,39.035,37.93,37.97,290900
Aileron Therapeutics Inc,ALRN,20180409,6.48,8.43,6.34,7.18,171000
Alaska Commun Sys,ALSK,20180409,1.75,1.75,1.65,1.66,67700
Altimmune Inc,ALT,20180409,0.92,0.96,0.85,0.88,372900
Altair Engineering Inc Class A,ALTR,20180409,30.45,30.69,29.94,30.27,74100
